full_name,name,url,description,language,stars,forks,watchers,open_issues,created_at,last_commit_at,days_active,days_since_commit,stars_per_month,is_abandoned,activity_level,project_maturity,popularity_score,data_collected_at
hashicorp/terraform,terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,49403,10593,49403,1913,2014-03-13T22:25:48Z,2026-08-04T21:24:06Z,4527,0,325.23,False,Very Active,Mature,37760.0,2026-08-04 20:39:21.795662
hashicorp/nomad,nomad,https://github.com/hashicorp/nomad,"Nomad is an easy-to-use, flexible, and performant workload orchestrator that can deploy a mix of microservice, batch, containerized, and non-containerized applications. Nomad is easy to operate and scale and has native Consul and Vault integrations.",Go,16777,2122,16777,1634,2015-06-01T10:21:00Z,2026-08-04T21:01:08Z,4082,0,122.4,False,Very Active,Mature,12380.5,2026-08-04 20:39:21.795662
prometheus/prometheus,prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Go,65550,10738,65550,887,2012-11-24T11:14:12Z,2026-08-04T22:44:03Z,5001,0,390.88,False,Very Active,Mature,49106.4,2026-08-04 20:39:21.795662
etcd-io/etcd,etcd,https://github.com/etcd-io/etcd,Distributed reliable key-value store for the most critical data of a distributed system,Go,52069,10445,52069,295,2013-07-06T21:57:21Z,2026-08-04T00:31:08Z,4777,0,324.96,False,Very Active,Mature,39581.8,2026-08-04 20:39:21.795662
postgres/postgres,postgres,https://github.com/postgres/postgres,"Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see https://wiki.postgresql.org/wiki/Submitting_a_Patch",C,21693,5829,21693,0,2010-09-21T11:35:45Z,2026-08-04T22:12:01Z,5796,0,111.7,False,Very Active,Mature,16933.8,2026-08-04 20:39:21.795662
mysql/mysql-server,mysql-server,https://github.com/mysql/mysql-server,"MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database.",C++,12364,4317,12364,29,2014-09-26T09:31:03Z,2026-07-31T15:43:43Z,4330,4,85.07,False,Very Active,Mature,9949.9,2026-08-04 20:39:21.795662
eslint/eslint,eslint,https://github.com/eslint/eslint,Find and fix problems in your JavaScript code.,JavaScript,27442,5144,27442,118,2013-06-29T23:59:48Z,2026-08-04T08:59:24Z,4784,0,171.01,False,Very Active,Mature,20752.6,2026-08-04 20:39:21.795662
jestjs/jest,jest,https://github.com/jestjs/jest,Delightful JavaScript Testing.,TypeScript,45463,6725,45463,235,2013-12-10T00:18:04Z,2026-08-03T13:59:31Z,4620,1,293.31,False,Very Active,Mature,33841.6,2026-08-04 20:39:21.795662
reduxjs/redux,redux,https://github.com/reduxjs/redux,A JS library for predictable global state management,TypeScript,61511,15208,61511,49,2015-05-29T23:53:15Z,2026-08-02T00:52:12Z,4085,2,448.44,False,Very Active,Mature,47620.1,2026-08-04 20:39:21.795662
vuejs/vuex,vuex,https://github.com/vuejs/vuex,🗃️ Centralized State Management for Vue.js.,JavaScript,28329,9435,28329,143,2015-07-16T04:21:26Z,2024-09-25T13:26:41Z,4037,678,208.97,True,Abandoned,Mature,22660.8,2026-08-04 20:39:21.795662
pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,Data validation using Python type hints,Python,28467,2845,28467,579,2017-05-03T21:23:58Z,2026-08-04T21:44:05Z,3380,0,250.44,False,Very Active,Mature,20780.4,2026-08-04 20:39:21.795662
pallets/flask,flask,https://github.com/pallets/flask,The Python micro framework for building web applications.,Python,72112,16925,72112,7,2010-04-06T11:11:59Z,2026-07-30T17:29:53Z,5964,5,360.92,False,Very Active,Mature,55555.9,2026-08-04 20:39:21.795662
aio-libs/aiohttp,aiohttp,https://github.com/aio-libs/aiohttp,Asynchronous HTTP client/server framework for asyncio and Python,Python,16508,2362,16508,218,2013-10-01T23:04:01Z,2026-08-04T11:39:05Z,4690,0,104.92,False,Very Active,Mature,12264.2,2026-08-04 20:39:21.795662
sqlalchemy/sqlalchemy,sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,The Database Toolkit for Python,Python,12047,1737,12047,212,2018-11-27T03:35:03Z,2026-08-04T20:48:04Z,2807,0,127.39,False,Very Active,Mature,8954.0,2026-08-04 20:39:21.795662
psf/requests,requests,https://github.com/psf/requests,"A simple, yet elegant, HTTP library.",Python,54212,10068,54212,234,2011-02-13T18:38:17Z,2026-08-03T17:52:46Z,5651,1,286.28,False,Very Active,Mature,40968.8,2026-08-04 20:39:21.795662
aws/aws-cli,aws-cli,https://github.com/aws/aws-cli,Universal Command Line Interface for Amazon Web Services,Python,17165,4624,17165,682,2012-11-20T16:07:36Z,2026-08-04T21:21:28Z,5005,0,102.27,False,Very Active,Mature,13402.7,2026-08-04 20:39:21.795662
Azure/azure-cli,azure-cli,https://github.com/Azure/azure-cli,Azure Command-Line Interface,Python,4592,3459,4592,4005,2016-02-04T00:21:51Z,2026-08-05T00:10:19Z,3834,-1,35.65,False,Very Active,Mature,4252.1,2026-08-04 20:39:21.795662
serverless/serverless,serverless,https://github.com/serverless/serverless,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",JavaScript,46919,5731,46919,1223,2015-04-21T03:48:40Z,2026-08-04T12:36:30Z,4123,0,338.93,False,Very Active,Mature,34562.6,2026-08-04 20:39:21.795662
hashicorp/vagrant,vagrant,https://github.com/hashicorp/vagrant,Vagrant is a tool for building and distributing development environments.,Ruby,27200,4403,27200,753,2010-01-21T08:34:27Z,2026-08-03T08:01:11Z,6039,1,134.45,False,Very Active,Mature,20360.9,2026-08-04 20:39:21.795662
ansible/ansible,ansible,https://github.com/ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",Python,70213,24316,70213,814,2012-03-06T14:58:02Z,2026-08-04T15:21:07Z,5264,0,397.88,False,Very Active,Mature,56443.9,2026-08-04 20:39:21.795662
saltstack/salt,salt,https://github.com/saltstack/salt,Software to automate the management and configuration of infrastructure and applications at scale.,Python,15598,5607,15598,1909,2011-02-20T20:16:56Z,2026-08-04T23:42:49Z,5644,0,82.47,False,Very Active,Mature,12600.7,2026-08-04 20:39:21.795662
pulumi/pulumi,pulumi,https://github.com/pulumi/pulumi,Pulumi - Infrastructure as Code in any programming language 🚀,Go,25526,1411,25526,2466,2016-10-31T21:02:47Z,2026-08-04T22:03:37Z,3564,0,213.07,False,Very Active,Mature,18291.5,2026-08-04 20:39:21.795662
chef/chef,chef,https://github.com/chef/chef,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale",Ruby,8229,2519,8229,358,2009-01-15T20:40:48Z,2026-08-04T22:24:08Z,6410,0,38.33,False,Very Active,Mature,6516.0,2026-08-04 20:39:21.795662
puppetlabs/puppet,puppet,https://github.com/puppetlabs/puppet,Server automation framework and application,Ruby,7916,2212,7916,98,2010-09-14T19:26:44Z,2026-03-16T11:58:10Z,5803,141,40.71,False,Moderately Active,Mature,6204.8,2026-08-04 20:39:21.795662
